id,status,assignedTimestamp,testedByProfile
1,Tested,1665745592204,vraptor75011
2,Tested,1665848002177,vraptor75011
3,Tested,1665745501591,vraptor75011
4,Tested,1665745447853,vraptor75011
5,Tested,1665646398528,vraptor75011
6,Tested,1665646404746,vraptor75011
7,Tested,1665646430705,vraptor75011
8,Tested,1665651614899,DJ05GaZ
9,Tested,1665651626502,vraptor75011
10,Tested,1665651590185,vraptor75011
11,Tested,1665651609292,vraptor75011
12,Tested,1665653011026,DJ05GaZ
13,Tested,1665687452004,DJ05GaZ
14,Tested,1665731542562,vraptor75011
15,Tested,1665739594206,vraptor75011
16,Tested,1665731536491,vraptor75011
17,Tested,1665658033686,NicN11
18,Tested,1665658719522,NicN11
19,Tested,1665658760117,NicN11
20,Tested,1665684594929,NicN11
21,Tested,1665745627609,vraptor75011
22,Tested,1665745956568,vraptor75011
23,Tested,1665846475644,vraptor75011
24,Tested,1665684195130,NicN11
25,Tested,1665665528775,caoHenriques
26,Tested,1665752125334,vraptor75011
27,Tested,1665665538432,NicN11
28,Tested,1665665566066,caoHenriques
29,Tested,1665766868554,vraptor75011
30,Tested,1665665581057,caoHenriques
31,Tested,1665767291126,vraptor75011
32,Tested,1665767505251,vraptor75011
33,Tested,1665855109343,vraptor75011
34,Tested,1665773828028,vraptor75011
35,Tested,1665825046087,vraptor75011
36,Tested,1665824152227,vraptor75011
37,Tested,1665682690497,tiger4242
38,Tested,1665682753030,tiger4242
39,Tested,1665682969465,DJ05GaZ
40,Tested,1665682988855,tiger4242
41,Tested,1665683839228,caoHenriques
42,Tested,1665684933018,tigers40
43,Tested,1665685199305,tigers40
44,Tested,1665804957997,vraptor75011
45,Tested,1665776309983,vraptor75011
46,Tested,1665807051899,vraptor75011
47,Tested,1665806950942,theblockchainarborist
48,Tested,1665686711429,NicN11
49,Tested,1665807431570,theblockchainarborist
50,Tested,1665807662681,theblockchainarborist
51,Tested,1665807821305,theblockchainarborist
52,Tested,1665808270645,theblockchainarborist
53,Tested,1665815581645,vraptor75011
54,Tested,1665902130011,tigers40
55,Tested,1665687169217,NicN11
56,Tested,1665687363546,BastianMuc
57,Tested,1665690791687,NicN11
58,Tested,1665815594337,theblockchainarborist
59,Tested,1665815599819,theblockchainarborist
60,Tested,1665904459994,tiger4242
61,Tested,1665740099037,vraptor75011
62,Tested,1665774977258,vraptor75011
63,Tested,1665746067678,vraptor75011
64,Tested,1665805449472,vraptor75011
65,Tested,1665817224428,theblockchainarborist
66,Tested,1665821455689,theblockchainarborist
67,Tested,1665821575984,theblockchainarborist
68,Tested,1665821998443,theblockchainarborist
69,Tested,1665822227076,theblockchainarborist
70,Tested,1665822330141,vraptor75011
71,Tested,1665823569008,theblockchainarborist
72,Tested,1665823960735,theblockchainarborist
73,Tested,1665824401103,theblockchainarborist
74,Tested,1665899602193,vraptor75011
75,Tested,1665826326543,theblockchainarborist
76,Tested,1665846681738,vraptor75011
77,Tested,1665846479969,vraptor75011
78,Tested,1665827852370,theblockchainarborist
79,Tested,1665828433439,vraptor75011
80,Tested,1665828697865,theblockchainarborist
81,Tested,1665828764627,theblockchainarborist
82,Tested,1665830330492,vraptor75011
83,Tested,1665830663333,theblockchainarborist
84,Tested,1665831070782,theblockchainarborist
85,Tested,1665832137039,theblockchainarborist
86,Tested,1665833099822,theblockchainarborist
87,Tested,1665834300064,theblockchainarborist
88,Tested,1665834969251,theblockchainarborist
89,Tested,1665835521773,vraptor75011
90,Tested,1665835853736,theblockchainarborist
91,Tested,1665837426351,theblockchainarborist
92,Tested,1665838228046,theblockchainarborist
93,Tested,1665838597905,theblockchainarborist
94,Tested,1665839312709,theblockchainarborist
95,Tested,1665927340317,theblockchainarborist
96,Tested,1665928250865,NicN11
97,Tested,1665845404734,theblockchainarborist
98,Tested,1665875573090,vraptor75011
99,Tested,1665846567092,theblockchainarborist
100,Tested,1665846645221,vraptor75011
101,Tested,1665846656296,vraptor75011
102,Tested,1665847791476,theblockchainarborist
103,Tested,1665849511915,theblockchainarborist
104,Tested,1665850186131,theblockchainarborist
105,Tested,1665850975575,tiger4242
106,Tested,1665850996667,tiger4242
107,Tested,1665851369369,tiger4242
108,Tested,1665852607317,theblockchainarborist
109,Tested,1665852709083,theblockchainarborist
110,Tested,1665853160502,vraptor75011
111,Tested,1665853228987,vraptor75011
112,Tested,1665854601032,tiger4242
113,Tested,1665854995151,tiger4242
114,Tested,1665942354635,NicN11
115,Tested,1665857379980,theblockchainarborist
116,Tested,1665858197372,tiger4242
117,Tested,1665858573555,tiger4242
118,Tested,1665858845940,vraptor75011
119,Tested,1665859818350,theblockchainarborist
120,Tested,1665861757647,tiger4242
121,Tested,1665862275502,theblockchainarborist
122,Tested,1665864341993,vraptor75011
123,Tested,1665864687044,theblockchainarborist
124,Tested,1665865328642,tiger4242
125,Tested,1665865406801,tiger4242
126,Tested,1665865432324,tiger4242
127,Tested,1665865837184,caoHenriques
128,Tested,1665865914532,tiger4242
129,Tested,1665922041363,tigers40
130,Tested,1665866207024,caoHenriques
131,Tested,1665868942750,tiger4242
132,Tested,1665869010242,tiger4242
133,Tested,1665869049863,tiger4242
134,Tested,1665869279128,tigers40
135,Tested,1665869506051,BigGremlin
136,Tested,1665869843603,BigGremlin
137,Tested,1665870389363,caoHenriques
138,Tested,1665870420878,caoHenriques
139,Tested,1665870984428,caoHenriques
140,Tested,1665871450129,vraptor75011
141,Tested,1665871644418,BigGremlin
142,Tested,1665871950726,theblockchainarborist
143,Tested,1665872162266,BigGremlin
144,Tested,1665959782530,tiger4242
145,Tested,1665872631929,tiger4242
146,Tested,1665884974959,tigers40
147,Tested,1665873791412,BigGremlin
148,Tested,1665873799249,BigGremlin
149,Tested,1665874125896,vraptor75011
150,Tested,1665874338946,theblockchainarborist
151,Tested,1665874711189,caoHenriques
152,Tested,1665874752587,caoHenriques
153,Tested,1665874817440,caoHenriques
154,Tested,1665875492017,vraptor75011
155,Tested,1665905675887,caoHenriques
156,Tested,1665881534059,caoHenriques
157,Tested,1665881521863,caoHenriques
158,Tested,1665876200848,tiger4242
159,Tested,1665878386162,tigers40
160,Tested,1665878596067,tigers40
161,Tested,1665879198412,theblockchainarborist
162,Tested,1665879625887,tiger4242
163,Tested,1665879763103,tiger4242
164,Tested,1665879861864,tigers40
165,Tested,1665880122743,tiger4242
166,Tested,1665881511273,caoHenriques
167,Tested,1665882622829,vraptor75011
168,Tested,1665883016058,vraptor75011
169,Tested,1665883139777,tiger4242
170,Tested,1665883236592,BigGremlin
171,Tested,1665883261596,caoHenriques
172,Tested,1665883280449,caoHenriques
173,Tested,1665883341841,caoHenriques
174,Tested,1665883404809,vraptor75011
175,Tested,1665883648206,tiger4242
176,Tested,1665883749192,BigGremlin
177,Tested,1665884013964,theblockchainarborist
178,Tested,1665885513595,BigGremlin
179,Tested,1665885938560,BigGremlin
180,Tested,1665886147046,caoHenriques
181,Tested,1665886240246,caoHenriques
182,Tested,1665886473220,theblockchainarborist
183,Tested,1665886789162,tiger4242
184,Tested,1665886983565,tiger4242
185,Tested,1665887475666,caoHenriques
186,Tested,1665887589553,caoHenriques
187,Tested,1665887632570,BigGremlin
188,Tested,1665887817766,tigers40
189,Tested,1665888870495,theblockchainarborist
190,Tested,1665889125267,tigers40
191,Tested,1665890351835,tiger4242
192,Tested,1665890545033,tiger4242
193,Tested,1665890636602,tiger4242
194,Tested,1665890943750,caoHenriques
195,Tested,1665891294593,theblockchainarborist
196,Tested,1665891691757,caoHenriques
197,Tested,1665891751919,caoHenriques
198,Tested,1665893663409,theblockchainarborist
199,Tested,1665893697215,vraptor75011
200,Tested,1665893773421,tigers40
201,Tested,1665893835438,tiger4242
202,Tested,1665894023746,tigers40
203,Tested,1665894080047,tiger4242
204,Tested,1665894148164,tiger4242
205,Tested,1665895617082,caoHenriques
206,Tested,1665895760084,caoHenriques
207,Tested,1665895880905,caoHenriques
208,Tested,1665895949764,caoHenriques
209,Tested,1665896084296,theblockchainarborist
210,Tested,1665896104546,caoHenriques
211,Tested,1665896218462,caoHenriques
212,Tested,1665897351191,tiger4242
213,Tested,1665897531158,tiger4242
214,Tested,1665897622823,tiger4242
215,Tested,1665897671119,tigers40
216,Tested,1665897727558,tiger4242
217,Tested,1665898916473,tigers40
218,Tested,1665899425540,BigGremlin
219,Tested,1665899545841,vraptor75011
220,Tested,1665899553330,vraptor75011
221,Tested,1665986255809,tiger4242
222,Tested,1665899596867,vraptor75011
223,Tested,1665900246130,tigers40
224,Tested,1665900396621,caoHenriques
225,Tested,1665900412897,caoHenriques
226,Tested,1665900635666,caoHenriques
227,Tested,1665900840715,caoHenriques
228,Tested,1665900870008,tiger4242
229,Tested,1665900906284,theblockchainarborist
230,Tested,1665901157575,tiger4242
231,Tested,1665901221120,tiger4242
232,Tested,1665901271790,tiger4242
233,Tested,1665902917001,vraptor75011
234,Tested,1665904596714,caoHenriques
235,Tested,1665904605543,caoHenriques
236,Tested,1665904625727,tigers40
237,Tested,1665904651008,tiger4242
238,Tested,1665904685615,tiger4242
239,Tested,1665905195815,caoHenriques
240,Tested,1665905432524,caoHenriques
241,Tested,1665905699712,theblockchainarborist
242,Tested,1665905842183,vraptor75011
243,Tested,1665905901504,vraptor75011
244,Tested,1665907693518,tigers40
245,Tested,1665907959985,tiger4242
246,Tested,1665908081430,theblockchainarborist
247,Tested,1665908325823,vraptor75011
248,Tested,1665908385703,tiger4242
249,Tested,1665908607580,tigers40
250,Tested,1665908923802,caoHenriques
251,Tested,1665909261623,tigers40
252,Tested,1665909275673,caoHenriques
253,Tested,1665909335824,NicN11
254,Tested,1665909483728,NicN11
255,Tested,1665909492941,NicN11
256,Tested,1665910241999,caoHenriques
257,Tested,1665910531813,theblockchainarborist
258,Tested,1665911428890,tiger4242
259,Tested,1665911522461,vraptor75011
260,Tested,1665911725587,tiger4242
261,Tested,1665911895157,tiger4242
262,Tested,1665912247627,vraptor75011
263,Tested,1665912272223,vraptor75011
264,Tested,1665912283038,vraptor75011
265,Tested,1665912296121,vraptor75011
266,Tested,1665912418204,NicN11
267,Tested,1665912743915,tigers40
268,Tested,1665912937061,theblockchainarborist
269,Tested,1665913329276,BigGremlin
270,Tested,1665913351215,caoHenriques
271,Tested,1665913411899,BigGremlin
272,Tested,1665913506579,BigGremlin
273,Tested,1665913973430,tigers40
274,Tested,1665914298871,NicN11
275,Tested,1665915018174,NicN11
276,Tested,1665915054261,tiger4242
277,Tested,1665915065969,NicN11
278,Tested,1665915073149,caoHenriques
279,Tested,1665915087837,NicN11
280,Tested,1665915224451,caoHenriques
281,Tested,1665915252978,tiger4242
282,Tested,1665915356013,theblockchainarborist
283,Tested,1665915414777,tiger4242
284,Tested,1665915432565,tiger4242
285,Tested,1665915606014,caoHenriques
286,Tested,1665916196446,vraptor75011
287,Tested,1665916814993,tigers40
288,Tested,1665917304682,NicN11
289,Tested,1665917587171,NicN11
290,Tested,1665917602649,caoHenriques
291,Tested,1665917607787,vraptor75011
292,Tested,1665917655022,NicN11
293,Tested,1665917702843,caoHenriques
294,Tested,1665917966915,tigers40
295,Tested,1665918761928,tiger4242
296,Tested,1665919295964,NicN11
297,Tested,1665920000073,caoHenriques
298,Tested,1665920039446,tigers40
299,Tested,1665920065649,vraptor75011
300,Tested,1665920180412,theblockchainarborist
301,Tested,1665920190644,NicN11
302,Tested,1665920523414,caoHenriques
303,Tested,1665921263833,tigers40
304,Tested,1665921828877,NicN11
305,Tested,1665921901259,caoHenriques
306,Tested,1665921928898,caoHenriques
307,Tested,1665922283948,tiger4242
308,Tested,1665922427769,tiger4242
309,Tested,1665922567277,theblockchainarborist
310,Tested,1665923702783,vraptor75011
311,Tested,1665923886269,vraptor75011
312,Tested,1665924814365,caoHenriques
313,Tested,1665924952938,theblockchainarborist
314,Tested,1665925015325,tigers40
315,Tested,1665925239447,NicN11
316,Tested,1665925253541,BigGremlin
317,Tested,1665925414493,caoHenriques
318,Tested,1665925542244,tigers40
319,Tested,1665925706406,tigers40
320,Tested,1665925721275,NicN11
321,Tested,1665925946976,tiger4242
322,Tested,1665926163935,caoHenriques
323,Tested,1665926181253,caoHenriques
324,Tested,1665926205944,tiger4242
325,Tested,1665926264266,tigers40
326,Tested,1665926678438,tigers40
327,Tested,1665927404509,BigGremlin
328,Tested,1665927468191,tigers40
329,Tested,1665929409149,tiger4242
330,Tested,1665929536491,tiger4242
331,Tested,1665929585638,vraptor75011
332,Tested,1665929698102,caoHenriques
333,Tested,1665929712195,vraptor75011
334,Tested,1665929735657,tiger4242
335,Tested,1665929757426,theblockchainarborist
336,Tested,1665929762555,vraptor75011
337,Tested,1665930089216,caoHenriques
338,Tested,1665930173131,NicN11
339,Tested,1665930387977,NicN11
340,Tested,1665930602963,NicN11
341,Tested,1665930753998,tigers40
342,Tested,1665932171339,theblockchainarborist
343,Tested,1665932456052,tigers40
344,Tested,1665932660790,tigers40
345,Tested,1665933210350,tigers40
346,Tested,1665933265809,tiger4242
347,Tested,1665933279250,tiger4242
348,Tested,1665933358832,vraptor75011
349,Tested,1665933577667,vraptor75011
350,Tested,1665934177168,tigers40
351,Tested,1665934581668,theblockchainarborist
352,Tested,1665934638935,caoHenriques
353,Tested,1665934739814,caoHenriques
354,Tested,1665935280676,vraptor75011
355,Tested,1665935355519,vraptor75011
356,Tested,1665935423830,caoHenriques
357,Tested,1665935454663,vraptor75011
358,Tested,1665935543757,NicN11
359,Tested,1665935760878,NicN11
360,Tested,1665936025392,NicN11
361,Tested,1665936808722,tiger4242
362,Tested,1665936990630,theblockchainarborist
363,Tested,1665937184397,NicN11
364,Tested,1665938112659,NicN11
365,Tested,1665938277236,tigers40
366,Tested,1665938390464,tigers40
367,Tested,1665938891622,caoHenriques
368,Tested,1665939036479,tigers40
369,Tested,1665940128199,vraptor75011
370,Tested,1665939282143,BigGremlin
371,Tested,1665939722574,BigGremlin
372,Tested,1665940225231,tigers40
373,Tested,1665940341090,tiger4242
374,Tested,1665940970926,tigers40
375,Tested,1665941223827,BigGremlin
376,Tested,1665941850415,theblockchainarborist
377,Tested,1665943103248,BigGremlin
378,Tested,1665943142050,tiger4242
379,Tested,1665943153909,caoHenriques
380,Tested,1665943168824,tiger4242
381,Tested,1665943694817,tiger4242
382,Tested,1665943754385,BigGremlin
383,Tested,1665943874881,tiger4242
384,Tested,1665943914423,tigers40
385,Tested,1665944659576,vraptor75011
386,Tested,1665944907725,vraptor75011
387,Tested,1665944952802,tigers40
388,Tested,1665945487070,tigers40
389,Tested,1665945700748,tigers40
390,Tested,1665946286818,tigers40
391,Tested,1665946687046,tiger4242
392,Tested,1665947312625,vraptor75011
393,Tested,1665947322164,tigers40
394,Tested,1665947338810,caoHenriques
395,Tested,1665947350770,vraptor75011
396,Tested,1665947450142,tiger4242
397,Tested,1665947560540,caoHenriques
398,Tested,1665948017811,tigers40
399,Tested,1665948690922,vraptor75011
400,Tested,1665948736463,NicN11
401,Tested,1665949131636,theblockchainarborist
402,Tested,1665949516779,tigers40
403,Tested,1665950192041,tiger4242
404,Tested,1665950267622,tiger4242
405,Tested,1665950277668,tiger4242
406,Tested,1665950402792,NicN11
407,Tested,1665950982537,tiger4242
408,Tested,1665951515053,tigers40
409,Tested,1665951797083,NicN11
410,Tested,1665951873801,caoHenriques
411,Tested,1665952101589,tigers40
412,Tested,1665952521975,vraptor75011
413,Tested,1665952899238,NicN11
414,Tested,1665953103842,vraptor75011
415,Tested,1665953286546,BigGremlin
416,Tested,1665953302218,caoHenriques
417,Tested,1665953480415,NicN11
418,Tested,1665953562919,theblockchainarborist
419,Tested,1665953695553,tiger4242
420,Tested,1665953783766,tiger4242
421,Tested,1665954329224,NicN11
422,Tested,1665954510185,caoHenriques
423,Tested,1665954949408,BigGremlin
424,Tested,1665954965926,BigGremlin
425,Tested,1665955421406,NicN11
426,Tested,1665955468016,NicN11
427,Tested,1665955951199,theblockchainarborist
428,Tested,1665956272154,tiger4242
429,Tested,1665956689361,tigers40
430,Tested,1665956804234,vraptor75011
431,Tested,1665956818415,tiger4242
432,Tested,1665956891885,NicN11
433,Tested,1665956906732,caoHenriques
434,Tested,1665956927839,tigers40
435,Tested,1665956953147,tigers40
436,Tested,1665957380660,tigers40
437,Tested,1665957438598,tigers40
438,Tested,1665957688828,BigGremlin
439,Tested,1665957816394,tigers40
440,Tested,1665958037076,caoHenriques
441,Tested,1665958384824,theblockchainarborist
442,Tested,1666040349597,NAmorim
443,Tested,1665960026662,vraptor75011
444,Tested,1665960556603,tigers40
445,Tested,1665960580153,NicN11
446,Tested,1665960837480,theblockchainarborist
447,Tested,1665962727533,tigers40
448,Tested,1665962877960,NicN11
449,Tested,1665963120376,NicN11
450,Tested,1665963241227,theblockchainarborist
451,Tested,1665963295083,tiger4242
452,Tested,1665963407502,vraptor75011
453,Tested,1665963581945,vraptor75011
454,Tested,1665966545666,caoHenriques
455,Tested,1665964632768,NicN11
456,Tested,1665964738514,vraptor75011
457,Tested,1665964803141,caoHenriques
458,Tested,1665985850460,caoHenriques
459,Tested,1665965737776,BigGremlin
460,Tested,1665965754713,tigers40
461,Tested,1665966535357,caoHenriques
462,Tested,1665966540797,caoHenriques
463,Tested,1665966550546,caoHenriques
464,Tested,1665967059319,caoHenriques
465,Tested,1665967430377,tiger4242
466,Tested,1665967485418,tigers40
467,Tested,1665967726487,caoHenriques
468,Tested,1665967866432,tiger4242
469,Tested,1665968012320,NicN11
470,Tested,1665968071274,theblockchainarborist
471,Tested,1665968095498,tigers40
472,Tested,1665968399164,NicN11
473,Tested,1665968466551,NicN11
474,Tested,1665968728330,BigGremlin
475,Tested,1665968747758,vraptor75011
476,Tested,1665969031780,NicN11
477,Tested,1665970469139,theblockchainarborist
478,Tested,1665970705105,tigers40
479,Tested,1665970965930,NicN11
480,Tested,1665971044763,tigers40
481,Tested,1665971093440,caoHenriques
482,Tested,1665971204576,caoHenriques
483,Tested,1665971211239,caoHenriques
484,Tested,1665971225376,caoHenriques
485,Tested,1665972878596,theblockchainarborist
486,Tested,1665974052254,vraptor75011
487,Tested,1665974782523,tigers40
488,Tested,1665975287423,theblockchainarborist
489,Tested,1665975330786,vraptor75011
